pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
C,25,GSW,14,0,51,3.6,12.4,.286,0.0,0.0,,3.6,12.4,.286,1.8,5.3,.333,3.6,8.0,11.6,0.9,0.9,1.8,1.8,8.9,8.9,,72,112
SF,32,NJN,82,24,2213,9.4,20.8,.455,0.2,0.8,.286,9.2,20.0,.461,4.3,5.2,.835,2.2,3.2,5.4,3.2,1.4,0.4,2.6,4.4,23.4,,107,112
PG,26,PHI,3,0,18,0.0,11.1,.000,0.0,2.8,.000,0.0,8.3,.000,0.0,0.0,,0.0,0.0,0.0,5.5,2.8,2.8,5.5,5.5,0.0,,19,109
PG,33,TOT,35,8,496,4.9,12.3,.400,0.3,1.2,.250,4.6,11.2,.416,1.8,2.2,.818,0.3,1.6,1.9,9.3,1.6,0.2,2.2,3.9,11.9,,100,114
PG,33,CHH,34,8,469,5.2,12.4,.420,0.3,1.3,.250,4.9,11.2,.439,1.6,1.9,.833,0.3,1.7,2.0,9.6,1.7,0.2,2.3,4.1,12.3,,101,114
PG,33,MIL,1,0,27,0.0,10.9,.000,0.0,0.0,,0.0,10.9,.000,5.4,7.3,.750,0.0,0.0,0.0,3.6,0.0,0.0,0.0,1.8,5.4,,63,117
C,34,MIL,71,70,2250,7.5,18.0,.416,1.5,4.3,.342,6.0,13.7,.439,5.0,5.7,.885,2.4,8.3,10.7,5.0,1.7,1.0,3.0,5.3,21.5,,108,107
PG,25,ORL,70,32,1460,6.0,14.6,.409,1.6,4.2,.394,4.4,10.5,.416,3.3,3.8,.874,0.7,4.3,5.0,10.5,1.1,0.1,2.8,4.0,16.9,,112,116
PF,24,LAC,78,76,2732,10.5,20.3,.520,0.0,0.2,.083,10.5,20.1,.524,8.0,10.1,.794,3.1,6.1,9.3,2.0,1.5,2.1,2.9,5.2,29.1,,117,107
PG,22,BOS,60,0,519,5.6,12.5,.444,0.0,0.7,.000,5.6,11.9,.468,5.0,7.2,.697,1.3,5.2,6.5,9.7,3.3,0.3,3.4,7.1,16.1,,107,106
SF,28,PHI,75,7,1405,9.2,18.2,.508,0.6,1.3,.444,8.7,16.9,.513,4.6,6.6,.699,2.2,3.9,6.1,3.9,1.2,0.7,3.0,7.0,23.6,,111,111
PG,24,TOT,79,51,2421,7.8,16.7,.466,0.5,1.7,.313,7.2,15.0,.484,3.3,4.0,.821,0.4,2.9,3.2,9.1,1.6,0.2,3.5,2.9,19.4,,105,113
PG,24,SAC,46,46,1747,8.0,17.2,.461,0.6,1.7,.373,7.3,15.6,.471,3.0,3.7,.809,0.3,3.1,3.4,8.6,1.6,0.2,3.5,2.8,19.5,,102,113
PG,24,ATL,33,5,674,7.3,15.2,.480,0.3,1.8,.167,7.0,13.4,.522,4.1,4.8,.846,0.5,2.2,2.7,10.6,1.6,0.1,3.5,3.3,18.9,,114,116
PF,32,HOU,74,0,1300,3.7,7.8,.474,0.0,0.1,.000,3.7,7.7,.479,0.7,2.0,.364,6.6,9.9,16.5,2.5,2.0,1.0,2.6,7.4,8.1,,100,101
PF,24,BOS,65,7,620,10.7,22.6,.476,0.2,2.2,.071,10.6,20.3,.519,4.2,5.0,.828,3.2,4.7,7.9,6.2,0.7,0.1,4.3,4.0,25.8,,103,112
SF,26,ORL,65,35,1644,9.8,19.9,.492,0.3,1.1,.250,9.5,18.7,.506,4.7,6.2,.761,3.3,5.1,8.4,4.1,2.1,1.6,2.9,4.9,24.5,,111,112
C,23,IND,82,82,2404,10.6,19.9,.533,0.0,0.0,.000,10.6,19.9,.533,5.0,6.1,.811,2.8,7.8,10.5,2.9,0.9,3.5,2.9,6.8,26.2,,113,109
C,27,GSW,13,3,107,4.2,10.2,.417,0.0,0.0,,4.2,10.2,.417,0.4,2.5,.167,4.7,9.7,14.4,0.4,1.7,4.7,3.8,7.6,8.9,,76,107
PG,31,MIA,82,25,1756,5.7,13.8,.412,0.2,1.1,.200,5.5,12.7,.430,1.6,2.1,.766,1.0,2.7,3.7,8.1,1.3,0.1,2.7,3.8,13.2,,98,113
PG,27,UTA,78,78,2915,8.1,15.7,.514,0.8,1.9,.416,7.3,13.8,.528,6.1,7.4,.819,1.0,2.6,3.5,19.4,3.5,0.3,4.7,4.0,23.0,,124,105
PF,26,SAC,11,0,34,1.5,13.1,.111,0.0,0.0,,1.5,13.1,.111,2.9,2.9,1.000,2.9,4.4,7.3,0.0,0.0,0.0,4.4,11.7,5.8,,45,115
PG,23,TOT,82,24,2140,7.8,17.2,.454,0.2,0.7,.267,7.6,16.6,.461,4.0,6.3,.626,2.1,3.9,5.9,10.7,2.9,0.3,3.9,3.6,19.8,,105,106
PG,23,NYK,51,0,1019,8.2,18.5,.440,0.3,1.0,.286,7.9,17.5,.449,4.0,6.2,.638,2.1,4.0,6.0,10.5,3.4,0.4,4.1,3.4,20.6,,104,107
PG,23,SAS,31,24,1121,7.5,16.1,.468,0.1,0.4,.222,7.4,15.7,.474,4.0,6.4,.615,2.0,3.7,5.8,10.8,2.5,0.3,3.7,3.9,19.1,,107,106
SG,28,MIA,63,2,867,8.1,19.9,.408,2.4,5.5,.440,5.7,14.4,.395,2.4,2.9,.846,0.8,3.1,3.9,5.6,1.4,0.0,2.9,3.8,21.0,,103,112
PF,25,DAL,45,35,1648,9.7,21.5,.451,0.0,0.2,.000,9.7,21.3,.455,4.0,5.3,.756,5.8,12.3,18.2,2.1,2.4,2.2,3.6,4.9,23.4,,101,100
SG,22,NJN,17,0,114,8.9,22.1,.404,1.3,5.5,.231,7.6,16.5,.462,2.5,3.8,.667,2.1,2.5,4.7,2.1,2.1,1.3,4.2,3.8,21.6,,89,110
PF,23,GSW,10,0,37,0.0,7.3,.000,0.0,1.2,.000,0.0,6.1,.000,13.5,19.6,.688,4.9,9.8,14.7,1.2,0.0,0.0,6.1,4.9,13.5,,80,114
SF,29,GSW,82,49,2376,10.3,21.4,.480,0.1,0.3,.214,10.2,21.1,.483,4.7,5.6,.830,2.2,4.8,7.0,3.0,1.7,0.3,2.7,4.4,25.2,,105,114
SG,32,ORL,76,71,2350,10.1,23.1,.439,0.5,2.1,.248,9.6,21.0,.458,7.4,8.7,.853,1.5,2.9,4.3,8.0,1.2,0.2,4.4,3.8,28.2,,107,117
PG,28,DET,81,81,2993,9.8,22.5,.438,0.7,2.3,.309,9.1,20.2,.453,5.0,6.4,.775,1.3,4.0,5.2,13.0,2.4,0.3,5.5,3.5,25.4,,104,104
SF,26,MIA,79,45,2142,8.3,16.1,.516,0.0,0.1,.500,8.3,16.0,.516,2.6,4.1,.622,5.3,6.9,12.2,3.7,1.2,2.0,3.5,5.3,19.2,,105,108
C,28,IND,82,60,2126,5.2,11.0,.473,0.0,0.1,.200,5.2,10.8,.476,2.5,3.1,.799,4.1,10.6,14.7,2.5,1.5,1.7,3.5,7.3,12.9,,99,107
C,35,LAL,70,70,1883,7.4,14.9,.500,0.0,0.0,,7.4,14.9,.500,3.8,5.4,.706,4.6,8.0,12.6,1.1,0.9,1.9,2.1,5.5,18.7,,112,107
PF,27,PHI,56,0,592,4.0,9.4,.429,0.1,0.3,.333,3.9,9.2,.431,2.2,4.3,.510,3.8,7.4,11.2,1.4,1.7,1.0,2.9,8.8,10.3,,91,107
PF,27,HOU,82,82,2947,8.8,16.1,.548,0.0,0.2,.000,8.8,15.9,.554,4.9,7.2,.688,4.2,7.7,11.8,4.2,1.1,0.4,3.7,4.3,22.6,,112,105
PG,28,SEA,65,18,1481,10.3,20.4,.506,0.3,1.1,.250,10.0,19.3,.520,4.4,5.3,.828,1.5,2.4,3.9,7.3,2.2,0.3,2.6,5.6,25.3,,120,112
PF,25,SAC,79,79,2937,12.3,23.4,.525,0.0,0.1,.000,12.3,23.3,.527,5.2,6.6,.783,3.1,6.9,10.1,1.8,0.9,0.9,2.6,4.2,29.7,,111,111
PF,24,GSW,70,21,1347,7.3,14.9,.493,0.2,0.6,.278,7.2,14.3,.502,5.9,8.1,.726,4.1,8.1,12.2,2.0,0.8,0.8,2.7,6.4,20.7,,112,113
PG,27,TOT,64,9,968,4.5,12.9,.348,1.2,3.2,.365,3.3,9.6,.342,3.4,4.3,.807,0.7,2.4,3.1,8.9,1.7,0.0,3.8,5.4,13.6,,96,114
PG,27,ATL,32,0,286,5.3,12.6,.417,1.2,2.3,.538,4.0,10.3,.390,3.7,4.4,.840,0.5,1.9,2.5,9.1,1.8,0.0,3.7,6.1,15.4,,108,115
PG,27,SAC,32,9,682,4.1,13.0,.320,1.2,3.6,.320,3.0,9.3,.320,3.3,4.2,.793,0.8,2.5,3.3,8.9,1.7,0.0,3.8,5.2,12.8,,91,113
SF,30,CHH,79,73,2404,9.0,21.0,.430,0.8,2.1,.365,8.2,18.8,.437,6.3,7.1,.883,1.7,4.9,6.6,4.6,1.5,0.3,3.6,4.5,25.1,,101,112
SG,30,NYK,81,2,1725,7.2,17.2,.417,2.7,6.9,.388,4.5,10.2,.438,1.9,2.4,.767,1.6,3.3,4.9,4.9,2.1,0.2,2.1,4.5,18.9,,111,110
PG,25,TOT,11,0,115,4.7,16.1,.289,0.0,0.8,.000,4.7,15.3,.306,1.7,1.7,1.000,1.7,1.7,3.4,9.8,3.4,0.0,5.1,2.5,11.0,,74,110
PG,25,LAC,3,0,31,3.1,20.3,.154,0.0,1.6,.000,3.1,18.7,.167,0.0,0.0,,4.7,3.1,7.8,4.7,1.6,0.0,6.2,1.6,6.2,,46,111
PG,25,CHH,8,0,84,5.2,14.6,.360,0.0,0.6,.000,5.2,14.0,.375,2.3,2.3,1.000,0.6,1.2,1.7,11.7,4.1,0.0,4.7,2.9,12.8,,86,109
PF,23,SAC,36,1,315,9.1,19.2,.475,0.0,0.5,.000,9.1,18.8,.487,6.3,10.2,.615,3.5,4.4,7.9,3.5,2.7,1.1,4.1,6.3,24.6,,99,108
PF,27,ORL,60,15,1105,5.5,12.8,.429,0.1,0.4,.200,5.4,12.4,.436,1.8,2.3,.778,2.2,7.3,9.5,2.2,1.0,0.5,2.5,6.7,12.8,,93,114
C,29,WSB,59,12,818,6.5,12.3,.526,0.0,0.1,.000,6.5,12.2,.531,3.3,4.2,.789,5.2,7.9,13.0,1.6,0.9,2.8,2.7,8.0,16.3,,112,108
