player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,points_won
Larry Hughes,SG,23,0.6015854374633001,0.725557461406518,0.2961165048543689,0.5032258064516129,0.6222222222222222,0.10526315789473684,0.5663265306122448,0.8145161290322581,0.9732142857142857,0.5185185185185185,0.7423312883435582,0.29357798165137616,0.5240963855421688,0.5952380952380952,0.1348314606741573,-0.052631578947368425,0.09876543209876544,0.7119476268412439,0.3291139240506329,0.3271028037383178,0.7916219119226638,0.22000000000000003,0.23404255319148937,0.26153846153846155,0.39449541284403666,0.5357142857142857,0.08571428571428572,0.575,0.5,0.39171974522292996,0.0
Lindsey Hunter,PG,31,0.4744568408690546,0.6552315608919383,0.18932038834951453,0.2709677419354839,0.4666666666666667,0.10526315789473684,0.3903061224489796,0.7903225806451613,0.9285714285714286,0.3164983164983165,0.7147239263803681,0.18807339449541283,0.23493975903614459,0.41269841269841273,0.11235955056179775,-0.25,0.0,0.7561374795417349,0.02531645569620253,0.04672897196261683,0.5370569280343717,0.04,0.13829787234042554,0.11538461538461539,0.14678899082568808,0.28571428571428575,0.05714285714285715,0.175,0.35714285714285715,0.18471337579617836,0.0
Zydrunas Ilgauskas,C,26,0.3901937756899589,0.7289879931389366,0.6504854368932038,0.18064516129032257,0.15555555555555556,0.5964912280701754,0.7040816326530612,0.8306451612903226,0.9553571428571429,0.5858585858585859,0.7684049079754601,0.6788990825688074,0.1887550200803213,0.7142857142857143,0.14044943820224717,-0.2894736842105263,-0.01234567901234568,0.6955810147299509,0.430379746835443,0.42056074766355145,0.8098818474758325,0.44000000000000006,0.3404255319148936,0.4153846153846154,0.10091743119266056,0.10714285714285715,0.39999999999999997,0.375,0.7142857142857143,0.3535031847133758,0.0
Allen Iverson,SG,26,0.7698179682912507,0.6826758147512865,0.2669902912621359,0.43870967741935485,0.7777777777777778,0.05263157894736842,0.9897959183673468,0.8145161290322581,0.8928571428571429,0.7373737373737373,0.75,0.2660550458715596,0.5542168674698795,1.0,0.38764044943820225,0.5,0.4814814814814815,0.6906710310965631,1.0,0.9158878504672898,0.8721804511278196,0.13999999999999999,0.40425531914893614,0.34615384615384615,0.5045871559633027,1.0,0.05714285714285715,1.0,0.4047619047619047,1.0,0.03039832285115304
Bobby Jackson,PG,28,0.5137991779213154,0.7598627787307032,0.34951456310679613,0.3032258064516129,0.4666666666666667,0.05263157894736842,0.6556122448979591,0.8790322580645161,0.9196428571428571,0.5824915824915825,0.8236196319018405,0.3532110091743119,0.29518072289156627,0.6111111111111112,0.30337078651685395,0.17105263157894737,0.1851851851851852,0.8101472995090017,0.22784810126582278,0.21495327102803738,0.8700322234156822,0.2,0.22340425531914893,0.23846153846153847,0.18348623853211007,0.32142857142857145,0.028571428571428574,0.275,0.42857142857142855,0.3535031847133758,0.0
Jim Jackson,SF,31,0.5358191426893717,0.758147512864494,0.42233009708737856,0.2709677419354839,0.2888888888888889,0.07017543859649122,0.45153061224489793,0.782258064516129,0.9107142857142857,0.3804713804713805,0.7837423312883436,0.42660550458715596,0.26907630522088355,0.47089947089947093,0.15730337078651685,-0.052631578947368425,0.08641975308641975,0.7823240589198036,0.1772151898734177,0.14953271028037385,0.9258861439312568,0.2,0.45744680851063824,0.4076923076923077,0.2293577981651376,0.28571428571428575,0.08571428571428572,0.475,0.6190476190476191,0.34076433121019106,0.0
Mark Jackson,PG,36,0.694950088079859,0.7530017152658662,0.3398058252427184,0.8838709677419354,0.37777777777777777,0.0,0.3954081632653061,0.9112903225806451,0.9553571428571429,0.5488215488215489,0.8220858895705522,0.34862385321100914,0.853413654618474,0.41269841269841273,0.33707865168539325,0.052631578947368425,0.1728395061728395,0.8281505728314239,0.13924050632911392,0.12149532710280375,0.849624060150376,0.13999999999999999,0.32978723404255317,0.29230769230769227,0.6788990825688074,0.32142857142857145,0.0,0.45,0.47619047619047616,0.267515923566879,0.0
Antawn Jamison,SF,25,0.8904873752201996,0.7667238421955404,0.45145631067961167,0.17419354838709677,0.26666666666666666,0.14035087719298245,0.6913265306122449,0.8790322580645161,0.9910714285714286,0.5757575757575758,0.7914110429447853,0.44954128440366975,0.1927710843373494,0.634920634920635,0.3595505617977528,-0.026315789473684213,0.1728395061728395,0.7708674304418985,0.49367088607594933,0.5046728971962617,0.7883995703544577,0.52,0.44680851063829785,0.5230769230769231,0.18348623853211007,0.32142857142857145,0.14285714285714285,0.5,0.5476190476190476,0.6273885350318471,0.0
Richard Jefferson,SF,21,0.5628302994715209,0.783876500857633,0.3883495145631068,0.24516129032258063,0.37777777777777777,0.22807017543859648,0.5153061224489796,0.8387096774193549,0.9017857142857143,0.4511784511784512,0.803680981595092,0.39449541284403666,0.23493975903614459,0.5052910052910053,0.2640449438202247,-0.052631578947368425,0.09876543209876544,0.7659574468085106,0.30379746835443033,0.31775700934579443,0.765843179377014,0.22000000000000003,0.2765957446808511,0.2846153846153846,0.1651376146788991,0.28571428571428575,0.17142857142857143,0.35,0.6428571428571429,0.2993630573248408,0.0
Avery Johnson,PG,36,0.3969465648854962,0.8216123499142367,0.13106796116504854,0.7225806451612903,0.35555555555555557,0.07017543859649122,0.5357142857142857,0.9112903225806451,1.0,0.5589225589225589,0.8144171779141104,0.1330275229357798,0.7228915662650602,0.5079365079365079,0.16853932584269662,-0.5526315789473685,-0.08641975308641975,0.7839607201309329,0.22784810126582278,0.22429906542056074,0.7969924812030076,0.04,0.0851063829787234,0.07692307692307693,0.3853211009174312,0.2142857142857143,0.028571428571428574,0.275,0.30952380952380953,0.2515923566878981,0.0
DerMarr Johnson,SF,21,0.507046388725778,0.679245283018868,0.36407766990291257,0.16129032258064516,0.4222222222222222,0.2982456140350877,0.46428571428571425,0.782258064516129,0.9464285714285714,0.3804713804713805,0.7868098159509203,0.37614678899082565,0.15461847389558234,0.4761904761904762,0.09550561797752809,-0.11842105263157895,0.0617283950617284,0.7839607201309329,0.15189873417721517,0.14018691588785048,0.8700322234156822,0.16,0.2765957446808511,0.26153846153846155,0.10091743119266056,0.32142857142857145,0.2285714285714286,0.35,0.5476190476190476,0.267515923566879,0.0
Ervin Johnson,C,34,0.4873752201996477,0.7907375643224701,0.7233009708737864,0.05806451612903226,0.26666666666666666,0.45614035087719296,0.17091836734693877,0.8145161290322581,0.9285714285714286,0.2895622895622896,0.7177914110429447,0.7431192660550459,0.04618473895582329,0.20370370370370372,0.1292134831460674,-0.32894736842105265,-0.02469135802469136,0.7545008183306056,0.05063291139240506,0.07476635514018692,0.4887218045112782,0.36,0.425531914893617,0.4461538461538461,0.027522935779816512,0.17857142857142858,0.2857142857142857,0.15,0.6428571428571429,0.08280254777070065,0.0
Joe Johnson,SG,20,0.5625366999412801,0.7375643224699829,0.3398058252427184,0.31612903225806455,0.35555555555555557,0.08771929824561403,0.4030612244897959,0.8225806451612904,0.9375,0.39730639730639733,0.7331288343558282,0.3440366972477064,0.30120481927710846,0.4232804232804233,0.16853932584269662,-0.14473684210526316,0.04938271604938272,0.7561374795417349,0.06329113924050632,0.06542056074766354,0.8313641245972074,0.2,0.2553191489361702,0.25384615384615383,0.2110091743119266,0.28571428571428575,0.08571428571428572,0.225,0.35714285714285715,0.23885350318471338,0.0
