player,pos_x,age_x,team_id_x,g_x,mp_x,fg_per_poss,fga_per_poss,fg_pct_x,fg3_per_poss,fg3a_per_poss,fg3_pct_x,fg2_per_poss,fg2a_per_poss,fg2_pct_x,ft_per_poss,fta_per_poss,ft_pct_x,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,votes_first,points_won,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,efg_pct,ft_per_g,fta_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fg_per_mp,fga_per_mp,fg3_per_mp,fg3a_per_mp,fg2_per_mp,fg2a_per_mp,ft_per_mp,fta_per_mp,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
Kurt Nimphius,C,23,DAL,63.0,1085.0,6.2,13.3,0.461,0.0,0.0,,6.2,13.3,0.461,2.8,4.8,0.583,4.1,9.1,13.2,2.7,0.8,3.7,2.5,8.5,15.1,102.0,107.0,12.0,0.489,0.0,0.364,9.4,22.1,15.5,7.7,0.8,4.4,14.0,15.2,,0.3,1.2,1.5,0.067,,-3.8,2.4,-1.3,0.2,0.0,0.0,17.2,2.2,4.7,0.0,0.0,2.2,4.7,0.461,1.0,1.7,1.5,3.2,4.7,1.0,0.3,1.3,0.9,3.0,5.3,4.5,9.9,0.0,0.0,4.5,9.9,2.1,3.6,3.1,6.7,9.8,2.0,0.6,2.7,1.9,6.3,11.2
Norm Nixon,PG,26,LAL,82.0,3024.0,9.7,19.6,0.493,0.0,0.2,0.25,9.6,19.4,0.495,2.8,3.4,0.8079999999999999,0.6,2.1,2.7,10.0,2.0,0.1,3.7,4.1,22.2,109.0,109.0,15.3,0.525,0.009000000000000001,0.17600000000000002,1.4,4.8,3.2,27.7,2.0,0.1,14.8,21.1,,4.2,2.4,6.6,0.10400000000000001,,0.8,-2.3,-1.4,0.4,0.0,0.0,36.9,7.7,15.5,0.0,0.1,7.6,15.4,0.494,2.2,2.7,0.5,1.7,2.1,8.0,1.6,0.1,2.9,3.2,17.6,7.5,15.2,0.0,0.1,7.4,15.0,2.2,2.7,0.5,1.6,2.1,7.8,1.6,0.1,2.8,3.1,17.1
Mike O'Koren,SF,23,NJN,80.0,2018.0,8.8,18.0,0.49200000000000005,0.2,0.5,0.348,8.7,17.4,0.49700000000000005,3.1,4.4,0.7140000000000001,2.6,4.5,7.0,4.4,1.9,0.3,3.4,4.0,21.0,104.0,104.0,13.6,0.528,0.03,0.243,6.1,11.0,8.5,13.7,1.9,0.4,14.6,19.9,,1.4,2.8,4.1,0.098,,0.5,-0.5,0.0,1.0,0.0,0.0,25.2,4.8,9.7,0.1,0.3,4.7,9.4,0.49700000000000005,1.7,2.4,1.4,2.4,3.8,2.4,1.0,0.2,1.8,2.2,11.4,6.8,13.9,0.1,0.4,6.7,13.5,2.4,3.4,2.0,3.5,5.4,3.4,1.5,0.2,2.6,3.1,16.2
Mark Olberding,PF,25,SAS,68.0,2098.0,7.4,15.7,0.47200000000000003,0.0,0.3,0.16699999999999998,7.4,15.5,0.478,6.1,7.5,0.8079999999999999,2.6,7.2,9.8,4.5,1.3,0.6,3.1,5.6,21.0,111.0,108.0,14.6,0.551,0.017,0.479,6.0,16.4,11.2,12.4,1.3,0.8,14.0,18.8,,3.1,2.0,5.1,0.11599999999999999,,0.4,0.8,1.2,1.7,0.0,0.0,30.9,4.9,10.4,0.0,0.2,4.9,10.2,0.474,4.0,5.0,1.7,4.7,6.5,3.0,0.8,0.4,2.0,3.7,13.8,5.7,12.1,0.0,0.2,5.7,11.9,4.7,5.8,2.0,5.5,7.5,3.5,1.0,0.5,2.4,4.3,16.1
Louis Orr,SF,23,IND,80.0,1951.0,8.9,17.9,0.49700000000000005,0.0,0.2,0.125,8.9,17.7,0.501,5.1,6.3,0.799,3.2,5.1,8.2,3.3,1.4,0.6,3.4,4.5,22.9,107.0,106.0,14.9,0.5529999999999999,0.011000000000000001,0.353,6.9,11.6,9.2,10.5,1.4,0.8,14.2,20.7,,2.1,2.1,4.3,0.105,,0.4,-0.7,-0.3,0.8,0.0,0.0,24.4,4.5,9.0,0.0,0.1,4.5,8.9,0.49700000000000005,2.5,3.2,1.6,2.6,4.1,1.7,0.7,0.3,1.7,2.3,11.5,6.6,13.3,0.0,0.1,6.6,13.1,3.7,4.7,2.3,3.8,6.1,2.5,1.0,0.5,2.5,3.4,16.9
Tom Owens,PF,32,IND,74.0,1599.0,9.1,19.3,0.47,0.0,0.1,0.5,9.1,19.3,0.47,5.5,6.9,0.8009999999999999,4.3,7.0,11.3,3.9,1.2,1.1,4.2,7.9,23.7,103.0,105.0,14.9,0.53,0.003,0.355,9.4,16.0,12.6,12.2,1.2,1.3,15.7,22.7,,1.1,2.1,3.2,0.095,,-0.1,-0.4,-0.5,0.6,0.0,0.0,21.6,4.0,8.6,0.0,0.0,4.0,8.6,0.47100000000000003,2.4,3.1,1.9,3.1,5.0,1.7,0.6,0.5,1.9,3.5,10.5,6.7,14.3,0.0,0.0,6.7,14.3,4.1,5.1,3.2,5.2,8.4,2.9,0.9,0.8,3.1,5.8,17.6
Robert Parish,C,28,BOS,80.0,2534.0,12.5,23.1,0.542,0.0,0.0,,12.5,23.1,0.542,4.7,6.6,0.71,5.4,10.8,16.2,2.6,1.3,3.6,4.1,5.0,29.7,112.0,99.0,22.6,0.5710000000000001,0.0,0.287,12.8,24.5,18.8,8.4,1.3,4.1,13.7,25.5,,5.0,5.1,10.0,0.19,,2.7,1.2,3.8,3.7,4.0,131.0,31.7,8.4,15.4,0.0,0.0,8.4,15.4,0.542,3.2,4.4,3.6,7.2,10.8,1.8,0.9,2.4,2.8,3.3,19.9,9.5,17.5,0.0,0.0,9.5,17.5,3.6,5.0,4.1,8.2,12.3,2.0,1.0,2.7,3.1,3.8,22.6
Jim Paxson,SG,24,POR,82.0,2756.0,11.5,21.8,0.526,0.1,0.6,0.22899999999999998,11.3,21.2,0.535,3.8,5.0,0.767,1.3,2.5,3.8,4.8,2.2,0.2,2.5,2.8,26.9,114.0,110.0,18.0,0.561,0.027999999999999997,0.228,3.1,5.9,4.5,14.8,2.2,0.2,9.4,22.8,,5.6,1.8,7.5,0.13,,2.1,-1.1,0.9,2.1,0.0,0.0,33.6,8.1,15.3,0.1,0.4,8.0,14.9,0.529,2.7,3.5,0.9,1.8,2.7,3.4,1.6,0.1,1.8,1.9,18.9,8.6,16.4,0.1,0.5,8.5,16.0,2.9,3.7,1.0,1.9,2.9,3.6,1.7,0.2,1.9,2.1,20.3
Sam Pellom,PF,30,ATL,69.0,1037.0,5.5,12.2,0.45399999999999996,0.0,0.0,0.0,5.5,12.2,0.456,3.0,3.8,0.772,4.4,6.8,11.1,1.4,1.4,2.3,2.8,8.0,14.1,101.0,103.0,10.3,0.506,0.004,0.315,9.8,15.2,12.5,3.9,1.4,2.8,16.6,14.3,,0.2,1.6,1.8,0.083,,-2.4,0.9,-1.4,0.2,0.0,0.0,15.0,1.7,3.6,0.0,0.0,1.7,3.6,0.45399999999999996,0.9,1.1,1.3,2.0,3.3,0.4,0.4,0.7,0.8,2.4,4.2,4.0,8.7,0.0,0.0,4.0,8.7,2.1,2.7,3.1,4.8,7.9,1.0,1.0,1.6,2.0,5.7,10.0
Roger Phegley,SG,25,TOT,81.0,1183.0,9.4,20.4,0.46,0.2,1.2,0.161,9.2,19.1,0.479,3.4,4.4,0.78,2.5,3.7,6.2,4.6,1.4,0.3,2.7,6.1,22.3,105.0,112.0,13.0,0.501,0.061,0.215,5.5,8.9,7.1,13.7,1.4,0.4,10.6,21.2,,1.0,0.6,1.6,0.063,,-1.0,-1.3,-2.3,-0.1,0.0,0.0,14.6,2.9,6.3,0.1,0.4,2.8,5.9,0.46399999999999997,1.0,1.3,0.8,1.1,1.9,1.4,0.4,0.1,0.8,1.9,6.9,7.1,15.4,0.2,0.9,6.9,14.5,2.6,3.3,1.9,2.8,4.7,3.5,1.1,0.2,2.0,4.6,16.9
