player,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,points_won
Darius Miller,0.5802509907529723,0.5619596541786743,0.14285714285714285,0.2805755395683453,0.3548387096774194,0.10526315789473684,0.3112033195020747,0.7857142857142857,0.9586776859504132,0.2718446601941748,0.7947976878612717,0.14671814671814673,0.22365591397849463,0.3308641975308642,0.10526315789473685,-0.1452991452991453,0.010101010101010102,0.760806916426513,0.08247422680412372,0.09090909090909091,0.8502155172413794,0.037037037037037035,0.15315315315315314,0.12179487179487179,0.19626168224299068,0.2727272727272727,0.1111111111111111,0.18,0.631578947368421,0.2271468144044321,0.0
Patty Mills,0.6301188903566711,0.6123919308357348,0.19747899159663865,0.4532374100719424,0.41935483870967744,0.05263157894736842,0.43153526970954353,0.8,0.9421487603305785,0.42718446601941745,0.8265895953757225,0.2007722007722008,0.378494623655914,0.4567901234567901,0.23026315789473686,-0.042735042735042736,0.0707070707070707,0.7853025936599424,0.11340206185567012,0.11818181818181818,0.9202586206896554,0.05555555555555555,0.17117117117117117,0.14102564102564105,0.28037383177570097,0.2727272727272727,0.037037037037037035,0.22000000000000003,0.4210526315789474,0.2742382271468144,0.0
Paul Millsap,0.6258256274768824,0.6974063400576368,0.5504201680672268,0.26618705035971224,0.7096774193548387,0.24561403508771928,0.47510373443983395,0.8285714285714286,0.8760330578512396,0.5792880258899676,0.8236994219653178,0.555984555984556,0.2279569892473118,0.48395061728395067,0.4013157894736842,0.20512820512820512,0.21212121212121213,0.760806916426513,0.2680412371134021,0.32727272727272727,0.7834051724137931,0.40740740740740744,0.45045045045045046,0.46153846153846156,0.1869158878504673,0.5454545454545454,0.2962962962962963,0.27999999999999997,0.6842105263157895,0.3490304709141274,0.0
Nikola Mirotić,0.41116248348745044,0.6325648414985591,0.5336134453781513,0.1510791366906475,0.3870967741935484,0.22807017543859648,0.5394190871369294,0.8214285714285714,0.9008264462809917,0.5566343042071198,0.8439306358381502,0.5405405405405406,0.13333333333333333,0.528395061728395,0.23026315789473686,0.0,0.0606060606060606,0.7867435158501441,0.23711340206185566,0.24545454545454548,0.9127155172413793,0.24074074074074073,0.5495495495495495,0.4743589743589744,0.11214953271028037,0.3181818181818181,0.25925925925925924,0.2,0.6052631578947368,0.42105263157894735,0.0
Donovan Mitchell,0.8579920739762219,0.622478386167147,0.24369747899159663,0.4244604316546763,0.6451612903225806,0.10526315789473684,0.6991701244813279,0.7428571428571429,0.8842975206611571,0.5566343042071198,0.7760115606936416,0.2548262548262548,0.4559139784946236,0.780246913580247,0.32894736842105265,0.05128205128205128,0.1717171717171717,0.7103746397694524,0.422680412371134,0.4636363636363636,0.8685344827586207,0.14814814814814814,0.2972972972972973,0.26282051282051283,0.39252336448598135,0.6363636363636362,0.14814814814814814,0.5599999999999999,0.7105263157894738,0.6592797783933518,0.0
Malik Monk,0.4154557463672391,0.5576368876080692,0.2226890756302521,0.3237410071942446,0.4516129032258064,0.12280701754385964,0.5228215767634854,0.7071428571428572,0.9421487603305785,0.3818770226537217,0.7485549132947976,0.22779922779922782,0.30752688172043013,0.6074074074074074,0.019736842105263157,-0.33333333333333337,-0.0606060606060606,0.6916426512968299,0.12371134020618557,0.12727272727272726,0.9504310344827587,0.037037037037037035,0.15315315315315314,0.12179487179487179,0.14953271028037385,0.22727272727272727,0.1111111111111111,0.24,0.39473684210526316,0.24653739612188366,0.0
E'Twaun Moore,0.4831571994715984,0.6930835734870316,0.1680672268907563,0.2302158273381295,0.41935483870967744,0.05263157894736842,0.4170124481327801,0.7857142857142857,0.9669421487603306,0.37216828478964403,0.819364161849711,0.17374517374517376,0.20430107526881722,0.42716049382716054,0.1118421052631579,-0.18803418803418806,-0.010101010101010102,0.7968299711815561,0.08247422680412372,0.1,0.8221982758620691,0.12962962962962962,0.15315315315315314,0.15384615384615385,0.17757009345794392,0.36363636363636365,0.07407407407407407,0.22000000000000003,0.5526315789473685,0.3296398891966759,0.0
Marcus Morris,0.690554821664465,0.6440922190201729,0.4453781512605042,0.17985611510791366,0.3225806451612903,0.10526315789473684,0.5,0.7857142857142857,0.9008264462809917,0.459546925566343,0.8208092485549131,0.4517374517374517,0.16129032258064516,0.5160493827160494,0.2960526315789474,-0.11965811965811966,0.0303030303030303,0.7680115273775214,0.1958762886597938,0.20909090909090908,0.9094827586206898,0.18518518518518517,0.45945945945945943,0.391025641025641,0.14018691588785048,0.2727272727272727,0.1111111111111111,0.24,0.631578947368421,0.3850415512465374,0.0
Markieff Morris,0.4194187582562748,0.6066282420749279,0.411764705882353,0.20863309352517984,0.41935483870967744,0.14035087719298245,0.4211618257261411,0.7571428571428571,0.9256198347107438,0.3786407766990291,0.7528901734104045,0.4285714285714286,0.189247311827957,0.471604938271605,0.10526315789473685,-0.23931623931623933,-0.0303030303030303,0.7089337175792507,0.12371134020618557,0.14545454545454548,0.831896551724138,0.20370370370370372,0.3153153153153153,0.2948717948717949,0.1308411214953271,0.2727272727272727,0.14814814814814814,0.18,0.7894736842105263,0.26038781163434904,0.0
Monte Morris,0.6505944517833554,0.7103746397694524,0.20168067226890754,0.5323741007194245,0.5806451612903226,0.017543859649122806,0.4398340248962655,0.8857142857142857,0.9173553719008265,0.5242718446601942,0.8338150289017341,0.20463320463320464,0.4666666666666667,0.4222222222222223,0.4078947368421053,0.017094017094017096,0.11111111111111112,0.8069164265129684,0.08247422680412372,0.09090909090909091,0.8642241379310346,0.07407407407407407,0.17117117117117117,0.15384615384615385,0.33644859813084116,0.40909090909090906,0.0,0.12,0.3157894736842105,0.2880886426592798,0.0
Emmanuel Mudiay,0.5307133421400264,0.6426512968299711,0.24789915966386555,0.48920863309352514,0.41935483870967744,0.10526315789473684,0.5435684647302904,0.7285714285714285,0.9586776859504132,0.47249190938511326,0.7673410404624277,0.24710424710424714,0.5204301075268817,0.6320987654320988,0.052631578947368425,-0.20512820512820512,-0.020202020202020204,0.7103746397694524,0.24742268041237114,0.29090909090909095,0.8340517241379312,0.1111111111111111,0.25225225225225223,0.21153846153846154,0.36448598130841126,0.3181818181818181,0.1111111111111111,0.48,0.4473684210526316,0.4099722991689751,0.0
Jamal Murray,0.8081241743725232,0.6296829971181557,0.2689075630252101,0.5251798561151079,0.41935483870967744,0.08771929824561403,0.5684647302904564,0.7857142857142857,0.9173553719008265,0.5177993527508091,0.7774566473988438,0.2702702702702703,0.48172043010752685,0.6148148148148148,0.3355263157894737,0.008547008547008548,0.13131313131313133,0.7233429394812679,0.2577319587628866,0.2727272727272727,0.9137931034482759,0.16666666666666666,0.3063063063063063,0.2692307692307693,0.4485981308411215,0.40909090909090906,0.14814814814814814,0.42000000000000004,0.5263157894736842,0.5041551246537396,0.0
Mike Muscala,0.43130779392338175,0.579250720461095,0.3697478991596639,0.19424460431654678,0.25806451612903225,0.24561403508771928,0.33609958506224064,0.8071428571428572,0.9173553719008265,0.34951456310679613,0.8150289017341039,0.3783783783783784,0.16559139784946236,0.3530864197530864,0.16447368421052633,-0.05982905982905983,0.04040404040404041,0.7564841498559077,0.11340206185567012,0.11818181818181818,0.8879310344827588,0.16666666666666666,0.26126126126126126,0.24358974358974358,0.11214953271028037,0.13636363636363635,0.2222222222222222,0.16,0.5263157894736842,0.19390581717451522,0.0
Larry Nance,0.5928005284015853,0.7492795389048991,0.6428571428571429,0.4244604316546763,0.9032258064516128,0.1929824561403509,0.35892116182572614,0.8571428571428571,0.9256198347107438,0.6019417475728156,0.8424855491329478,0.6602316602316604,0.3827956989247312,0.38271604938271603,0.32236842105263164,0.3418803418803419,0.27272727272727276,0.7982708933717577,0.1443298969072165,0.18181818181818182,0.771551724137931,0.4629629629629629,0.5135135135135136,0.5256410256410257,0.2990654205607477,0.6818181818181818,0.2222222222222222,0.27999999999999997,0.7631578947368421,0.26038781163434904,0.0
Nerlens Noel,0.34841479524438573,0.8458213256484151,0.6050420168067226,0.14388489208633093,0.9354838709677419,0.7368421052631579,0.34647302904564314,0.8714285714285714,0.8181818181818182,0.6245954692556634,0.8786127167630057,0.6138996138996139,0.12688172043010754,0.34074074074074073,0.28289473684210525,0.33333333333333337,0.16161616161616163,0.8458213256484151,0.07216494845360825,0.09090909090909091,0.7370689655172414,0.2962962962962963,0.23423423423423426,0.2692307692307693,0.056074766355140186,0.40909090909090906,0.4444444444444444,0.12,0.5789473684210527,0.13573407202216067,0.0
Jusuf Nurkić,0.6519154557463672,0.7319884726224783,0.7731092436974789,0.41007194244604317,0.5483870967741935,0.43859649122807015,0.5726141078838174,0.8285714285714286,0.8677685950413223,0.7572815533980582,0.8236994219653178,0.7799227799227799,0.38494623655913973,0.6098765432098765,0.5131578947368421,0.4358974358974359,0.35353535353535354,0.7348703170028817,0.4020618556701031,0.4636363636363636,0.8329741379310346,0.6296296296296295,0.6306306306306306,0.6666666666666667,0.2990654205607477,0.45454545454545453,0.5185185185185185,0.45999999999999996,0.9210526315789475,0.43213296398891965,0.0
Royce O'Neale,0.5518494055482166,0.6844380403458212,0.34453781512605036,0.2589928057553957,0.48387096774193544,0.12280701754385964,0.25311203319502074,0.7714285714285715,0.8760330578512396,0.29126213592233013,0.8511560693641618,0.3552123552123552,0.21505376344086022,0.2716049382716049,0.21710526315789475,0.008547008547008548,0.09090909090909091,0.8270893371757924,0.04123711340206186,0.045454545454545456,0.8211206896551725,0.05555555555555555,0.2882882882882883,0.22435897435897437,0.14018691588785048,0.3181818181818181,0.1111111111111111,0.18,0.5526315789473685,0.1440443213296399,0.0
Josh Okogie,0.5802509907529723,0.5561959654178674,0.24789915966386555,0.17985611510791366,0.7741935483870968,0.15789473684210525,0.32157676348547715,0.7214285714285714,0.9338842975206612,0.3042071197411004,0.7109826589595376,0.2548262548262548,0.14838709677419357,0.3802469135802469,0.07894736842105263,-0.1452991452991453,0.010101010101010102,0.6412103746397694,0.16494845360824745,0.2,0.7844827586206897,0.1111111111111111,0.21621621621621623,0.1858974358974359,0.11214953271028037,0.5454545454545454,0.14814814814814814,0.18,0.5789473684210527,0.21329639889196675,0.0
