player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fga_per_g,points_won
Jeff Hornacek,SG,35,1435.0,0.47700000000000004,6.2,7.4,2.0,0.5,22.6,113.0,100.0,17.8,0.575,6.8,24.7,19.7,5.3,3.1,1.8,0.514,2.6,2.9,0.893,0.7,2.6,3.3,4.0,1.1,0.3,1.7,2.0,12.2,9.4,0.0
Allan Houston,SG,27,1815.0,0.418,4.6,4.2,1.1,0.3,24.8,98.0,102.0,13.1,0.515,4.9,15.0,24.3,2.9,-1.0,0.4,0.45899999999999996,3.4,3.9,0.862,0.4,2.6,3.0,2.7,0.7,0.2,2.6,2.3,16.3,14.1,0.0
Juwan Howard,SF,25,1430.0,0.474,11.0,4.0,1.6,0.5,25.5,101.0,103.0,17.1,0.51,12.0,14.0,24.6,2.8,1.0,1.1,0.474,3.1,4.1,0.753,2.5,5.6,8.1,3.0,1.2,0.4,2.6,3.6,18.9,16.8,0.0
Lindsey Hunter,PG,28,1755.0,0.435,5.3,6.1,2.7,0.3,18.4,104.0,101.0,13.9,0.517,5.9,19.7,17.7,4.0,1.9,1.7,0.491,1.4,1.8,0.753,0.5,2.9,3.4,3.9,1.8,0.2,1.9,2.6,11.9,10.7,0.0
Allen Iverson,SG,23,1990.0,0.41200000000000003,6.4,6.1,3.0,0.2,34.9,105.0,99.0,22.2,0.508,6.9,24.2,32.6,7.2,4.6,3.3,0.439,7.4,9.9,0.7509999999999999,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2.0,26.8,22.0,319.0
Jim Jackson,SG,28,1175.0,0.41100000000000003,7.3,5.9,2.0,0.3,19.0,100.0,99.0,13.1,0.499,7.8,18.5,19.3,2.5,0.1,0.6,0.445,1.7,2.1,0.8420000000000001,0.7,2.5,3.2,2.6,0.9,0.1,1.7,1.6,8.4,7.6,0.0
Mark Jackson,PG,33,1382.0,0.419,7.4,15.5,1.7,0.1,15.0,112.0,105.0,17.9,0.513,7.9,45.4,16.0,3.8,1.5,1.2,0.46799999999999997,1.3,1.6,0.823,0.7,3.1,3.8,7.9,0.9,0.1,2.0,1.2,7.6,6.7,1.0
Antawn Jamison,SF,22,1058.0,0.452,15.4,1.7,1.9,0.8,22.9,100.0,100.0,16.6,0.48700000000000004,15.2,5.9,22.2,2.3,-1.1,0.2,0.456,1.9,3.3,0.588,2.8,3.6,6.4,0.7,0.8,0.3,1.4,2.2,9.6,8.4,0.0
Avery Johnson,PG,33,1672.0,0.473,3.8,12.0,1.7,0.4,15.8,103.0,100.0,14.0,0.48700000000000004,4.0,37.4,17.0,3.9,-1.4,0.3,0.474,1.0,1.8,0.568,0.4,1.9,2.4,7.4,1.0,0.2,2.2,2.0,9.7,9.2,0.0
Ervin Johnson,C,31,1027.0,0.508,17.2,1.0,1.6,3.1,13.8,110.0,98.0,14.5,0.544,18.8,2.9,13.1,3.0,0.7,0.7,0.508,1.3,2.1,0.61,2.4,4.0,6.4,0.4,0.6,1.1,0.9,3.0,5.1,3.8,0.0
