pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
PG,35,TOT,15,215,10.8,.449,.115,.308,2.7,7.9,5.3,23.8,1.9,0.0,14.5,13.7,,0.1,0.2,0.3,.068,,-2.0,-1.6,-3.6,-0.1
PG,35,MIL,6,107,10.6,.431,.200,.367,2.2,7.2,4.8,20.9,2.3,0.0,10.3,15.3,,0.0,0.1,0.2,.077,,-1.3,-1.7,-3.0,0.0
PG,35,ATL,9,108,11.0,.475,.000,.227,3.1,8.6,5.8,26.6,1.4,0.0,19.9,12.1,,0.0,0.1,0.1,.058,,-2.7,-1.6,-4.3,-0.1
C,28,CLE,7,23,0.9,.235,.000,.750,28.6,15.4,22.2,5.4,2.1,2.6,27.3,26.5,,-0.2,0.0,-0.1,-0.254,,-10.2,-0.5,-10.7,-0.1
C,22,GSW,45,354,15.3,.546,.000,.813,10.0,15.6,12.6,8.8,1.6,1.1,11.1,18.8,,0.5,0.3,0.8,.106,,-0.8,-1.0,-1.8,0.0
PF,27,DAL,80,2492,13.8,.523,.002,.208,7.0,23.6,15.3,8.7,1.2,0.5,12.8,19.2,,1.6,2.7,4.2,.081,,-1.9,0.4,-1.5,0.3
PF,22,SDC,81,2907,19.8,.538,.002,.354,12.6,17.6,15.1,7.2,1.5,1.1,11.2,26.6,,5.7,1.8,7.5,.123,,1.1,-0.2,0.9,2.2
C,26,DET,73,907,8.6,.475,.006,.333,9.7,24.5,16.8,4.6,1.2,1.9,21.3,10.9,,-0.2,1.2,1.0,.051,,-4.2,1.3,-2.9,-0.2
SG,23,CHI,82,2449,15.8,.531,.026,.322,2.8,8.3,5.5,17.6,2.1,0.3,13.6,27.4,,1.5,2.2,3.7,.072,,0.2,-1.2,-1.0,0.6
SF,27,UTA,79,2984,24.6,.652,.003,.658,6.7,9.0,7.9,16.2,0.9,0.1,12.4,28.2,,13.0,1.6,14.6,.235,,6.5,-2.1,4.4,4.8
PG,28,DAL,81,2665,14.4,.593,.058,.366,1.8,6.3,4.1,27.1,1.7,0.3,18.0,14.4,,4.8,1.5,6.2,.112,,0.4,-1.1,-0.7,0.9
SF,25,WSB,46,467,13.4,.491,.041,.179,8.5,17.2,12.9,10.4,1.5,1.2,13.3,24.8,,-0.2,0.6,0.3,.034,,-2.8,-1.1,-3.9,-0.2
PG,28,ATL,75,2079,14.3,.507,.010,.320,2.9,4.8,3.8,24.4,1.5,0.2,12.8,21.7,,1.9,1.4,3.3,.075,,0.3,-2.1,-1.8,0.1
SG,29,PHO,78,2546,18.5,.559,.068,.212,1.7,7.6,4.6,25.0,2.0,0.3,13.3,25.9,,4.2,2.0,6.2,.118,,2.2,-1.7,0.5,1.6
C,27,NJN,81,2417,17.6,.641,.006,.543,7.4,18.4,12.8,7.2,1.2,3.3,17.9,21.2,,4.3,3.6,7.9,.156,,1.5,0.9,2.4,2.7
SF,23,WSB,75,1174,12.3,.488,.015,.326,9.0,9.7,9.3,21.8,1.6,0.6,17.1,20.5,,0.2,1.1,1.3,.053,,-1.2,-0.3,-1.4,0.2
PF,25,DEN,43,413,7.6,.411,.101,.242,9.2,16.7,12.8,12.0,2.4,1.0,20.9,12.6,,-0.3,0.3,0.1,.007,,-4.4,2.0,-2.4,0.0
